Economy;Age at 1st Birth
Afghanistan;29.1
Albania;28.2
Algeria;31.8
American Samoa;29.3
Andorra;30.8
Angola;28.6
Anguilla;27.2
Antigua and Barbuda;27.8
Argentina;27.9
Armenia;26.0
Aruba;27.2
Australia;30.5
Austria;29.8
Azerbaijan;25.9
Bahamas;28.5
Bahrain;29.9
Bangladesh;24.7
Barbados;27.8
Belarus;27.3
Belgium;29.4
Belize;27.4
Benin;29.0
Bermuda;30.5
Bhutan;28.2
Bolivia;28.4
Bosnia and Herzegovina;28.3
Botswana;28.1
Brazil;26.4
British Virgin Islands;27.4
Brunei Darussalam;29.2
Bulgaria;27.1
Burkina Faso;29.4
Burundi;30.4
Cambodia;28.3
Cameroon;28.6
Canada;29.9
Cape Verde;27.8
Cayman Islands;29.0
Central African Republic;29.4
Chad;28.3
Chile;28.0
China;28.4
China. Hong Kong SAR;31.3
China. Macao SAR;29.9
Colombia;26.3
Comoros;..
Congo;28.5
Cook Islands;28.9
Costa Rica;26.6
Cote d Ivoire;29.1
Croatia;29.1
Cuba;26.1
Cyprus;30.2
Czech Republic;29.7
Democratic People's Republic of Korea;28.7
Democratic Republic of the Congo;29.9
Denmark;30.6
Djibouti;32.7
Dominica;29.3
Dominican Republic;25.7
Ecuador;27.3
Egypt;27.7
El Salvador;26.8
Equatorial Guinea;29.7
Eritrea;30.8
Estonia;29.3
Ethiopia;29.8
Faroe Islands;30.0
Fiji;28.2
Finland;30.2
France;29.9
French Guiana;28.5
French Polynesia;28.5
Gabon;27.9
Gambia;..
Georgia;26.4
Germany;30.3
Ghana;29.4
Gibraltar;29.0
Greece;30.2
Greenland;27.8
Grenada;28.6
Guadeloupe;29.9
Guam;28.0
Guatemala;28.5
Guinea;29.1
Guinea-Bissau;29.6
Guyana;26.6
Haiti;30.0
Honduras;27.6
Hungary;29.3
Iceland;30.0
India;26.5
Indonesia;28.3
Iran;28.4
Iraq;29.5
Ireland;31.2
Israel;30.3
Italy;31.3
Jamaica;27.3
Japan;30.6
Jordan;29.7
Kazakhstan;28.1
Kenya;28.4
Kiribati;29.6
Kuwait;30.0
Kyrgyzstan;28.4
Laos;28.0
Latvia;28.6
Lebanon;29.3
Lesotho;27.9
Liberia;28.7
Libya;32.9
Liechtenstein;31.2
Lithuania;28.9
Luxembourg;30.8
Madagascar;28.2
Malawi;29.0
Malaysia;30.4
Maldives;28.8
Mali;28.8
Malta;29.5
Marshall Islands;26.5
Martinique;29.9
Mauritania;30.7
Mauritius;27.4
Mayotte;28.7
Mexico;26.7
Micronesia (Federated States of);29.3
Mongolia;28.7
Montenegro;28.5
Montserrat;29.1
Morocco;30.1
Mozambique;29.0
Myanmar;30.7
Namibia;28.9
Nauru;28.0
Nepal;26.1
Netherlands;30.7
Netherlands Antilles;28.4
New Caledonia;29.3
New Zealand;29.8
Nicaragua;26.4
Niger;29.0
Nigeria;29.8
Niue;29.0
Northern Mariana Islands;26.8
Norway;30.1
Oman;30.8
Pakistan;30.4
Palau;28.7
Panama;26.6
Papua New Guinea;29.8
Paraguay;27.9
Peru;28.4
Philippines;28.8
Poland;28.8
Portugal;29.7
Puerto Rico;25.9
Qatar;30.2
Korea;31.0
Moldova;26.9
Réunion;28.8
Romania;27.1
Russia;27.5
Rwanda;30.6
Saint Kitts and Nevis;26.4
Saint Lucia;28.0
Saint Vincent and the Grenadines;27.4
Samoa;30.5
San Marino;32.2
Sao Tome and Principe;29.7
Saudi Arabia;31.6
Senegal;29.6
Serbia;28.4
Seychelles;27.5
Sierra Leone;29.1
Singapore;31.0
Slovakia;28.7
Slovenia;30.0
Solomon Islands;29.3
Somalia;30.0
South Africa;28.7
South Sudan;31.5
Spain;31.2
Sri Lanka;29.3
State of Palestine;29.1
Sudan;30.7
Suriname;27.3
Swaziland;28.3
Sweden;30.7
Switzerland;31.1
Syria;29.0
Tajikistan;27.8
Thailand;26.9
Macedonia;27.9
Timor-Leste;30.9
Togo;..
Tonga;31.4
Trinidad and Tobago;27.7
Tunisia;31.1
Turkey;28.0
Turkmenistan;24.6
Tuvalu;28.6
Uganda;28.7
Ukraine;26.3
United Arab Emirates;27.1
United Kingdom;29.3
Tanzania;29.1
United States;28.0
United States Virgin Islands;27.2
Uruguay;27.7
Uzbekistan;26.7
Venezuela (Bolivarian Republic of);26.4
Vietnam;27.0
Wallis and Futuna Islands;29.3
Yemen;30.2
Zambia;29.3
Zimbabwe;27.9
