Country;ISO3;2013 Rank;2013 Score
Iceland;ISL;1;0.8731
Finland;FIN;2;0.8421
Norway;NOR;3;0.8417
Sweden;SWE;4;0.8129
Philippines;PHL;5;0.7832
Ireland;IRL;6;0.7823
New Zealand;NZL;7;0.7799
Denmark;DNK;8;0.7779
Switzerland;CHE;9;0.7736
Nicaragua;NIC;10;0.7715
Belgium;BEL;11;0.7684
Latvia;LVA;12;0.761
Netherlands;NLD;13;0.7608
Germany;DEU;14;0.7583
Cuba;CUB;15;0.754
Lesotho;LSO;16;0.753
South Africa;ZAF;17;0.751
United Kingdom;GBR;18;0.744
Austria;AUT;19;0.7437
Canada;CAN;20;0.7425
Luxembourg;LUX;21;0.741
Burundi;BDI;22;0.7397
United States;USA;23;0.7392
Australia;AUS;24;0.739
Ecuador;ECU;25;0.7389
Mozambique;MOZ;26;0.7349
Bolivia;BOL;27;0.734
Lithuania;LTU;28;0.7308
Barbados;BRB;29;0.7301
Spain;ESP;30;0.7266
Costa Rica;CRI;31;0.7241
Kazakhstan;KAZ;32;0.7218
Mongolia;MNG;33;0.7204
Argentina;ARG;34;0.7195
Colombia;COL;35;0.7171
Trinidad and Tobago;TTO;36;0.7166
Panama;PAN;37;0.7164
Slovenia;SVN;38;0.7155
Malawi;MWI;39;0.7139
Bahamas;BHS;40;0.7128
Cape Verde;CPV;41;0.7122
Serbia;SRB;42;0.7116
Bulgaria;BGR;43;0.7097
Namibia;NAM;44;0.7094
France;FRA;45;0.7089
Uganda;UGA;46;0.7086
Jamaica;JAM;47;0.7085
Guyana;GUY;48;0.7085
Croatia;HRV;49;0.7069
Venezuela;VEN;50;0.706
Portugal;PRT;51;0.7056
Moldova;MDA;52;0.7037
Israel;ISR;53;0.7032
Poland;POL;54;0.7031
Sri Lanka;LKA;55;0.7019
Madagascar;MDG;56;0.7016
Macedonia;MKD;57;0.7013
Singapore;SGP;58;0.7
Estonia;EST;59;0.6997
Laos;LAO;60;0.6993
Russia;RUS;61;0.6983
Brazil;BRA;62;0.6949
Kyrgyzstan;KGZ;63;0.6948
Ukraine;UKR;64;0.6935
Thailand;THA;65;0.6928
Tanzania;TZA;66;0.6928
Senegal;SEN;67;0.6923
Mexico;MEX;68;0.6917
China;CHN;69;0.6908
Romania;ROU;70;0.6908
Italy;ITA;71;0.6885
Dominican Republic;DOM;72;0.6867
Vietnam;VNM;73;0.6863
Slovakia;SVK;74;0.6857
Bangladesh;BGD;75;0.6848
Ghana;GHA;76;0.6811
Uruguay;URY;77;0.6803
Kenya;KEN;78;0.6803
Cyprus;CYP;79;0.6801
Peru;PER;80;0.6787
Greece;GRC;81;0.6782
Honduras;HND;82;0.6773
Czech Republic;CZE;83;0.677
Malta;MLT;84;0.6761
Botswana;BWA;85;0.6752
Georgia;GEO;86;0.675
Hungary;HUN;87;0.6742
Brunei Darussalam;BRN;88;0.673
Paraguay;PRY;89;0.6724
Tajikistan;TJK;90;0.6682
Chile;CHL;91;0.667
Angola;AGO;92;0.6659
Bhutan;BTN;93;0.6651
Armenia;ARM;94;0.6634
Indonesia;IDN;95;0.6613
El Salvador;SLV;96;0.6609
Maldives;MDV;97;0.6604
Mauritius;MUS;98;0.6599
Azerbaijan;AZE;99;0.6582
Cameroon;CMR;100;0.656
India;IND;101;0.6551
Malaysia;MYS;102;0.6518
Burkina Faso;BFA;103;0.6513
Cambodia;KHM;104;0.6509
Japan;JPN;105;0.6498
Nigeria;NGA;106;0.6469
Belize;BLZ;107;0.6449
Albania;ALB;108;0.6412
United Arab Emirates;ARE;109;0.6372
Suriname;SUR;110;0.6369
Korea;KOR;111;0.6351
Bahrain;BHR;112;0.6334
Zambia;ZMB;113;0.6312
Guatemala;GTM;114;0.6304
Qatar;QAT;115;0.6299
Kuwait;KWT;116;0.6292
Fiji;FJI;117;0.6286
Ethiopia;ETH;118;0.6198
Jordan;JOR;119;0.6093
Turkey;TUR;120;0.6081
Nepal;NPL;121;0.6053
Oman;OMN;122;0.6053
Lebanon;LBN;123;0.6028
Algeria;DZA;124;0.5966
Egypt;EGY;125;0.5935
Benin;BEN;126;0.5885
Saudi Arabia;SAU;127;0.5879
Mali;MLI;128;0.5872
Morocco;MAR;129;0.5845
Iran;IRN;130;0.5842
Cote d Ivoire;CIV;131;0.5814
Mauritania;MRT;132;0.581
Syria;SYR;133;0.5661
Chad;TCD;134;0.5588
Pakistan;PAK;135;0.5459
Yemen;YEM;136;0.5128
